Year,Mean_CO2,Uncertainty,Average_Temperature
1959-01-01,315.98,0.12,0.030833333333333334
1960-01-01,316.91,0.12,-0.024999999999999998
1961-01-01,317.64,0.12,0.057499999999999996
1962-01-01,318.45,0.12,0.030833333333333334
1963-01-01,318.99,0.12,0.05333333333333334
1964-01-01,319.62,0.12,-0.1975
1965-01-01,320.04,0.12,-0.10666666666666669
1966-01-01,321.37,0.12,-0.05666666666666667
1967-01-01,322.18,0.12,-0.024166666666666666
1968-01-01,323.05,0.12,-0.08416666666666667
1969-01-01,324.62,0.12,0.050833333333333335
1970-01-01,325.68,0.12,0.02583333333333333
1971-01-01,326.32,0.12,-0.08
1972-01-01,327.46,0.12,0.0075
1973-01-01,329.68,0.12,0.16
1974-01-01,330.19,0.12,-0.07166666666666666
1975-01-01,331.13,0.12,-0.013333333333333341
1976-01-01,332.03,0.12,-0.09833333333333333
1977-01-01,333.84,0.12,0.17666666666666667
1978-01-01,335.41,0.12,0.06666666666666667
1979-01-01,336.84,0.12,0.16333333333333333
1980-01-01,338.76,0.12,0.25583333333333336
1981-01-01,340.12,0.12,0.3216666666666667
1982-01-01,341.48,0.12,0.13749999999999998
1983-01-01,343.15,0.12,0.3133333333333333
1984-01-01,344.87,0.12,0.155
1985-01-01,346.35,0.12,0.11750000000000001
1986-01-01,347.61,0.12,0.17999999999999997
1987-01-01,349.31,0.12,0.32083333333333336
1988-01-01,351.69,0.12,0.3875
1989-01-01,353.2,0.12,0.2725
1990-01-01,354.45,0.12,0.44750000000000006
1991-01-01,355.7,0.12,0.4058333333333333
1992-01-01,356.54,0.12,0.22083333333333335
1993-01-01,357.21,0.12,0.23083333333333333
1994-01-01,358.96,0.12,0.31333333333333335
1995-01-01,360.97,0.12,0.4458333333333333
1996-01-01,362.74,0.12,0.32916666666666666
1997-01-01,363.88,0.12,0.4641666666666666
1998-01-01,366.84,0.12,0.6075
1999-01-01,368.54,0.12,0.38083333333333336
2000-01-01,369.71,0.12,0.39333333333333337
2001-01-01,371.32,0.12,0.5333333333333332
2002-01-01,373.45,0.12,0.6266666666666667
2003-01-01,375.98,0.12,0.6158333333333333
2004-01-01,377.7,0.12,0.5316666666666667
2005-01-01,379.98,0.12,0.6749999999999999
2006-01-01,382.09,0.12,0.6375000000000001
2007-01-01,384.02,0.12,0.6591666666666667
2008-01-01,385.83,0.12,0.5433333333333333
2009-01-01,387.64,0.12,0.6541666666666667
2010-01-01,390.1,0.12,0.7241666666666666
2011-01-01,391.85,0.12,0.6083333333333333
2012-01-01,394.06,0.12,0.6458333333333334
2013-01-01,396.74,0.12,0.6749999999999999
2014-01-01,398.81,0.12,0.7458333333333332
2015-01-01,401.01,0.12,0.8958333333333334
2016-01-01,404.41,0.12,1.0133333333333334
2017-01-01,406.76,0.12,0.9166666666666669
2018-01-01,408.72,0.12,0.8475
2019-01-01,411.65,0.12,0.9733333333333333
2020-01-01,414.21,0.12,1.0058333333333331
2021-01-01,416.41,0.12,0.8466666666666666
2022-01-01,418.53,0.12,0.8908333333333333
2023-01-01,421.08,0.12,1.1716666666666666
