Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Average_Temperature
1880,-0.2,-0.26,-0.09,-0.17,-0.1,-0.22,-0.2,-0.1,-0.15,-0.23,-0.22,-0.19,-0.18,,,-0.12,-0.17,-0.2,-0.1775
1881,-0.2,-0.15,0.02,0.04,0.07,-0.19,0.01,-0.04,-0.16,-0.22,-0.19,-0.07,-0.09,-0.1,-0.18,0.04,-0.07,-0.19,-0.09000000000000001
1882,0.16,0.14,0.04,-0.16,-0.14,-0.22,-0.16,-0.07,-0.14,-0.24,-0.17,-0.36,-0.11,-0.09,0.07,-0.08,-0.15,-0.18,-0.10999999999999999
1883,-0.29,-0.37,-0.12,-0.18,-0.18,-0.07,-0.07,-0.14,-0.22,-0.12,-0.24,-0.11,-0.18,-0.2,-0.34,-0.16,-0.1,-0.19,-0.1758333333333333
1884,-0.13,-0.08,-0.37,-0.4,-0.34,-0.35,-0.31,-0.28,-0.27,-0.25,-0.34,-0.31,-0.29,-0.27,-0.11,-0.37,-0.31,-0.29,-0.28583333333333333
1885,-0.58,-0.34,-0.27,-0.42,-0.45,-0.44,-0.34,-0.31,-0.28,-0.24,-0.24,-0.11,-0.33,-0.35,-0.41,-0.38,-0.36,-0.25,-0.335
1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.34,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26,-0.32,-0.3,-0.35,-0.32,-0.28,-0.27,-0.31583333333333335
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33,-0.37,-0.36,-0.52,-0.34,-0.29,-0.3,-0.3666666666666667
1888,-0.34,-0.36,-0.42,-0.21,-0.22,-0.17,-0.1,-0.16,-0.12,0.01,0.02,-0.04,-0.18,-0.2,-0.35,-0.28,-0.14,-0.03,-0.17583333333333337
1889,-0.09,0.16,0.06,0.09,-0.01,-0.1,-0.08,-0.2,-0.24,-0.26,-0.34,-0.29,-0.11,-0.09,0.01,0.05,-0.13,-0.28,-0.10833333333333334
1890,-0.42,-0.45,-0.4,-0.3,-0.4,-0.25,-0.28,-0.39,-0.37,-0.25,-0.44,-0.32,-0.36,-0.35,-0.39,-0.37,-0.31,-0.35,-0.3558333333333333
1891,-0.34,-0.47,-0.19,-0.28,-0.17,-0.21,-0.18,-0.18,-0.16,-0.22,-0.32,-0.04,-0.23,-0.25,-0.38,-0.21,-0.19,-0.23,-0.23
1892,-0.3,-0.12,-0.4,-0.34,-0.23,-0.22,-0.32,-0.27,-0.17,-0.14,-0.43,-0.39,-0.28,-0.25,-0.15,-0.32,-0.27,-0.25,-0.2775
1893,-0.81,-0.57,-0.23,-0.28,-0.34,-0.26,-0.14,-0.26,-0.23,-0.19,-0.19,-0.32,-0.32,-0.32,-0.59,-0.28,-0.22,-0.2,-0.3183333333333333
1894,-0.53,-0.29,-0.24,-0.45,-0.31,-0.41,-0.24,-0.24,-0.28,-0.23,-0.26,-0.22,-0.31,-0.32,-0.38,-0.33,-0.3,-0.26,-0.3083333333333334
1895,-0.42,-0.43,-0.33,-0.22,-0.28,-0.21,-0.17,-0.18,-0.13,-0.11,-0.18,-0.15,-0.23,-0.24,-0.36,-0.28,-0.19,-0.14,-0.23416666666666663
1896,-0.23,-0.13,-0.27,-0.31,-0.16,-0.11,-0.03,-0.06,-0.08,0.05,-0.05,-0.05,-0.12,-0.13,-0.17,-0.25,-0.07,-0.02,-0.11916666666666668
1897,-0.16,-0.17,-0.14,-0.03,-0.02,-0.12,-0.03,-0.1,-0.09,-0.13,-0.18,-0.21,-0.12,-0.1,-0.13,-0.06,-0.08,-0.14,-0.11499999999999999
1898,-0.03,-0.31,-0.52,-0.31,-0.31,-0.2,-0.23,-0.27,-0.22,-0.35,-0.39,-0.24,-0.28,-0.28,-0.18,-0.38,-0.23,-0.32,-0.2816666666666667
1899,-0.17,-0.39,-0.37,-0.21,-0.23,-0.32,-0.16,-0.09,-0.05,-0.05,0.12,-0.27,-0.18,-0.18,-0.27,-0.27,-0.19,0.01,-0.1825
1900,-0.36,-0.06,0.0,-0.09,-0.09,-0.1,-0.13,-0.09,-0.06,0.09,-0.07,-0.07,-0.09,-0.1,-0.23,-0.06,-0.11,-0.01,-0.08583333333333333
1901,-0.22,-0.11,0.05,-0.03,-0.15,-0.12,-0.15,-0.21,-0.23,-0.3,-0.17,-0.27,-0.16,-0.14,-0.14,-0.04,-0.16,-0.23,-0.15916666666666665
1902,-0.16,-0.09,-0.27,-0.28,-0.33,-0.31,-0.28,-0.3,-0.29,-0.3,-0.37,-0.42,-0.29,-0.27,-0.18,-0.29,-0.3,-0.32,-0.2833333333333334
1903,-0.25,-0.06,-0.24,-0.42,-0.4,-0.43,-0.35,-0.46,-0.5,-0.47,-0.42,-0.51,-0.38,-0.37,-0.24,-0.35,-0.41,-0.46,-0.3758333333333333
1904,-0.63,-0.59,-0.51,-0.51,-0.52,-0.49,-0.51,-0.49,-0.56,-0.4,-0.18,-0.34,-0.48,-0.49,-0.58,-0.51,-0.5,-0.38,-0.47750000000000004
1905,-0.36,-0.6,-0.22,-0.34,-0.3,-0.29,-0.27,-0.21,-0.19,-0.26,-0.08,-0.13,-0.27,-0.29,-0.43,-0.29,-0.25,-0.18,-0.2708333333333333
1906,-0.28,-0.29,-0.18,-0.05,-0.26,-0.19,-0.23,-0.2,-0.29,-0.21,-0.38,-0.15,-0.23,-0.22,-0.23,-0.16,-0.21,-0.29,-0.22583333333333333
1907,-0.43,-0.5,-0.27,-0.37,-0.47,-0.42,-0.35,-0.34,-0.35,-0.23,-0.47,-0.47,-0.39,-0.36,-0.36,-0.37,-0.37,-0.35,-0.3891666666666666
1908,-0.45,-0.33,-0.56,-0.44,-0.37,-0.38,-0.35,-0.46,-0.36,-0.44,-0.52,-0.49,-0.43,-0.43,-0.42,-0.46,-0.4,-0.44,-0.4291666666666667
1909,-0.73,-0.46,-0.54,-0.59,-0.55,-0.52,-0.45,-0.34,-0.39,-0.4,-0.32,-0.56,-0.49,-0.48,-0.56,-0.56,-0.44,-0.37,-0.4875
1910,-0.43,-0.41,-0.51,-0.43,-0.34,-0.39,-0.34,-0.37,-0.39,-0.41,-0.58,-0.68,-0.44,-0.43,-0.47,-0.42,-0.36,-0.46,-0.43999999999999995
1911,-0.63,-0.58,-0.61,-0.54,-0.52,-0.51,-0.42,-0.44,-0.41,-0.27,-0.22,-0.21,-0.45,-0.49,-0.63,-0.56,-0.46,-0.3,-0.4466666666666666
1912,-0.25,-0.14,-0.38,-0.18,-0.21,-0.24,-0.43,-0.54,-0.58,-0.58,-0.39,-0.43,-0.36,-0.34,-0.2,-0.26,-0.4,-0.52,-0.36250000000000004
1913,-0.41,-0.45,-0.43,-0.4,-0.44,-0.45,-0.36,-0.34,-0.35,-0.33,-0.2,-0.03,-0.35,-0.38,-0.43,-0.42,-0.39,-0.29,-0.3491666666666667
1914,0.04,-0.1,-0.24,-0.3,-0.21,-0.26,-0.23,-0.16,-0.17,-0.04,-0.16,-0.04,-0.15,-0.15,-0.03,-0.25,-0.22,-0.12,-0.15583333333333332
1915,-0.21,-0.04,-0.1,0.06,-0.06,-0.22,-0.13,-0.23,-0.2,-0.25,-0.13,-0.21,-0.14,-0.13,-0.1,-0.03,-0.19,-0.19,-0.14333333333333334
1916,-0.13,-0.15,-0.29,-0.31,-0.35,-0.49,-0.37,-0.28,-0.36,-0.34,-0.46,-0.82,-0.36,-0.31,-0.16,-0.32,-0.38,-0.39,-0.3625
1917,-0.57,-0.63,-0.63,-0.55,-0.55,-0.44,-0.25,-0.22,-0.23,-0.44,-0.34,-0.68,-0.46,-0.47,-0.67,-0.58,-0.3,-0.34,-0.4608333333333334
1918,-0.48,-0.34,-0.25,-0.44,-0.43,-0.37,-0.32,-0.32,-0.17,-0.06,-0.12,-0.29,-0.3,-0.33,-0.5,-0.37,-0.33,-0.12,-0.2991666666666667
1919,-0.2,-0.23,-0.21,-0.13,-0.28,-0.36,-0.29,-0.33,-0.25,-0.2,-0.42,-0.42,-0.28,-0.27,-0.24,-0.21,-0.33,-0.29,-0.27666666666666667
1920,-0.25,-0.27,-0.12,-0.24,-0.27,-0.35,-0.3,-0.26,-0.22,-0.26,-0.27,-0.47,-0.27,-0.27,-0.31,-0.21,-0.3,-0.25,-0.2733333333333334
1921,-0.05,-0.18,-0.23,-0.3,-0.3,-0.27,-0.15,-0.27,-0.19,-0.04,-0.15,-0.18,-0.19,-0.21,-0.23,-0.28,-0.23,-0.13,-0.1925
1922,-0.34,-0.45,-0.15,-0.23,-0.33,-0.3,-0.27,-0.33,-0.35,-0.32,-0.14,-0.2,-0.28,-0.28,-0.32,-0.24,-0.3,-0.27,-0.2841666666666667
1923,-0.27,-0.39,-0.34,-0.41,-0.34,-0.29,-0.31,-0.33,-0.31,-0.14,-0.03,-0.04,-0.27,-0.28,-0.29,-0.36,-0.31,-0.16,-0.26666666666666666
1924,-0.22,-0.23,-0.08,-0.3,-0.18,-0.26,-0.29,-0.36,-0.32,-0.35,-0.2,-0.43,-0.27,-0.24,-0.16,-0.19,-0.3,-0.29,-0.26833333333333337
1925,-0.37,-0.39,-0.27,-0.25,-0.29,-0.33,-0.27,-0.21,-0.2,-0.18,0.05,0.06,-0.22,-0.26,-0.4,-0.27,-0.27,-0.11,-0.22083333333333335
1926,0.21,0.03,0.12,-0.13,-0.23,-0.26,-0.27,-0.13,-0.14,-0.11,-0.06,-0.29,-0.11,-0.08,0.1,-0.08,-0.22,-0.1,-0.105
1927,-0.26,-0.17,-0.38,-0.3,-0.25,-0.27,-0.18,-0.24,-0.13,0.0,-0.05,-0.33,-0.21,-0.21,-0.24,-0.31,-0.23,-0.06,-0.2133333333333333
1928,-0.02,-0.09,-0.25,-0.28,-0.3,-0.38,-0.19,-0.22,-0.21,-0.19,-0.1,-0.16,-0.2,-0.21,-0.15,-0.27,-0.26,-0.17,-0.1991666666666667
1929,-0.44,-0.58,-0.32,-0.41,-0.37,-0.43,-0.36,-0.32,-0.25,-0.14,-0.11,-0.54,-0.36,-0.32,-0.39,-0.37,-0.37,-0.17,-0.3558333333333333
1930,-0.3,-0.26,-0.1,-0.24,-0.23,-0.21,-0.2,-0.14,-0.15,-0.11,0.18,-0.05,-0.15,-0.19,-0.37,-0.19,-0.19,-0.03,-0.15083333333333335
1931,-0.1,-0.2,-0.1,-0.22,-0.19,-0.07,-0.03,-0.03,-0.06,0.06,-0.05,-0.05,-0.09,-0.09,-0.12,-0.17,-0.04,-0.02,-0.08666666666666668
1932,0.16,-0.16,-0.18,-0.05,-0.17,-0.28,-0.24,-0.21,-0.1,-0.08,-0.26,-0.26,-0.15,-0.13,-0.02,-0.13,-0.24,-0.15,-0.1525
1933,-0.23,-0.29,-0.29,-0.24,-0.28,-0.33,-0.2,-0.23,-0.29,-0.24,-0.3,-0.44,-0.28,-0.26,-0.26,-0.27,-0.25,-0.27,-0.27999999999999997
1934,-0.2,-0.02,-0.28,-0.3,-0.09,-0.14,-0.1,-0.11,-0.15,-0.06,0.04,-0.02,-0.12,-0.15,-0.22,-0.22,-0.12,-0.05,-0.11916666666666668
1935,-0.34,0.15,-0.13,-0.36,-0.28,-0.26,-0.21,-0.21,-0.2,-0.05,-0.25,-0.17,-0.19,-0.18,-0.07,-0.26,-0.23,-0.17,-0.1925
1936,-0.27,-0.37,-0.2,-0.19,-0.15,-0.21,-0.09,-0.13,-0.09,-0.02,0.02,-0.01,-0.14,-0.16,-0.27,-0.18,-0.14,-0.03,-0.1425
1937,-0.07,0.03,-0.2,-0.15,-0.05,-0.04,-0.03,0.02,0.09,0.09,0.08,-0.07,-0.03,-0.02,-0.02,-0.14,-0.02,0.09,-0.025000000000000005
1938,0.08,0.04,0.1,0.07,-0.09,-0.17,-0.09,-0.05,0.01,0.15,0.08,-0.12,0.0,0.0,0.02,0.02,-0.1,0.08,0.000833333333333334
1939,-0.05,-0.06,-0.17,-0.1,-0.04,-0.07,-0.05,-0.06,-0.07,-0.04,0.07,0.43,-0.02,-0.06,-0.08,-0.1,-0.06,-0.01,-0.017500000000000012
1940,0.0,0.08,0.09,0.17,0.11,0.12,0.13,0.07,0.15,0.11,0.16,0.31,0.13,0.13,0.17,0.13,0.1,0.14,0.125
1941,0.18,0.31,0.1,0.16,0.17,0.13,0.22,0.15,0.02,0.35,0.23,0.22,0.19,0.19,0.27,0.14,0.17,0.2,0.18666666666666668
1942,0.29,0.02,0.06,0.1,0.11,0.05,0.01,-0.04,-0.03,0.02,0.09,0.12,0.07,0.08,0.18,0.09,0.01,0.03,0.06666666666666667
1943,-0.01,0.17,-0.03,0.11,0.07,-0.05,0.09,0.01,0.05,0.23,0.2,0.24,0.09,0.08,0.1,0.05,0.02,0.16,0.09000000000000001
1944,0.36,0.24,0.26,0.2,0.19,0.16,0.18,0.18,0.28,0.26,0.11,0.04,0.2,0.22,0.28,0.22,0.17,0.22,0.20499999999999996
1945,0.1,0.01,0.06,0.19,0.06,0.01,0.04,0.26,0.2,0.18,0.07,-0.07,0.09,0.1,0.05,0.11,0.1,0.15,0.09249999999999999
1946,0.15,0.03,0.01,0.06,-0.07,-0.21,-0.12,-0.2,-0.08,-0.08,-0.05,-0.31,-0.07,-0.05,0.04,0.0,-0.18,-0.07,-0.07250000000000001
1947,-0.06,-0.08,0.07,0.06,-0.02,-0.02,-0.04,-0.07,-0.12,0.07,0.02,-0.13,-0.03,-0.04,-0.15,0.04,-0.04,-0.01,-0.026666666666666672
1948,0.06,-0.14,-0.24,-0.12,-0.01,-0.05,-0.11,-0.12,-0.14,-0.05,-0.12,-0.23,-0.11,-0.1,-0.07,-0.12,-0.09,-0.11,-0.10583333333333333
1949,0.07,-0.14,-0.02,-0.11,-0.1,-0.27,-0.13,-0.13,-0.14,-0.06,-0.1,-0.18,-0.11,-0.11,-0.1,-0.08,-0.17,-0.1,-0.10916666666666668
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.08,-0.16,-0.11,-0.2,-0.34,-0.22,-0.17,-0.17,-0.24,-0.13,-0.1,-0.22,-0.1741666666666667
1951,-0.34,-0.41,-0.2,-0.14,0.0,-0.06,-0.01,0.06,0.05,0.08,-0.01,0.16,-0.07,-0.1,-0.32,-0.12,0.0,0.04,-0.06833333333333334
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.07,0.0,-0.13,-0.02,0.01,0.03,0.13,-0.02,0.02,-0.02,0.01
1953,0.07,0.15,0.11,0.2,0.12,0.12,0.01,0.05,0.05,0.08,-0.03,0.05,0.08,0.08,0.07,0.14,0.06,0.03,0.08166666666666668
1954,-0.24,-0.1,-0.15,-0.14,-0.2,-0.18,-0.19,-0.17,-0.1,-0.02,0.08,-0.18,-0.13,-0.11,-0.1,-0.16,-0.18,-0.01,-0.1325
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.13,-0.11,0.02,-0.11,-0.05,-0.25,-0.28,-0.14,-0.13,-0.07,-0.25,-0.07,-0.14,-0.14
1956,-0.12,-0.24,-0.21,-0.27,-0.29,-0.15,-0.09,-0.25,-0.19,-0.23,-0.15,-0.06,-0.19,-0.21,-0.21,-0.26,-0.16,-0.19,-0.1875
1957,-0.09,-0.03,-0.05,0.0,0.09,0.15,0.02,0.15,0.09,0.01,0.08,0.15,0.05,0.03,-0.06,0.01,0.11,0.06,0.047499999999999994
1958,0.39,0.22,0.09,0.01,0.06,-0.09,0.05,-0.05,-0.03,0.04,0.02,0.01,0.06,0.07,0.25,0.05,-0.03,0.01,0.06
1959,0.08,0.07,0.18,0.16,0.04,0.03,0.03,-0.01,-0.06,-0.07,-0.08,0.0,0.03,0.03,0.05,0.13,0.02,-0.07,0.030833333333333334
1960,0.0,0.13,-0.35,-0.15,-0.08,-0.04,-0.04,0.02,0.07,0.06,-0.11,0.19,-0.02,-0.04,0.04,-0.19,-0.02,0.01,-0.024999999999999998
1961,0.07,0.19,0.09,0.13,0.12,0.12,0.01,0.01,0.08,0.0,0.03,-0.16,0.06,0.09,0.15,0.12,0.04,0.04,0.057499999999999996
1962,0.05,0.15,0.1,0.05,-0.06,0.03,0.02,-0.01,0.0,0.01,0.06,-0.03,0.03,0.02,0.01,0.03,0.01,0.02,0.030833333333333334
1963,-0.03,0.18,-0.14,-0.07,-0.06,0.05,0.06,0.22,0.17,0.14,0.15,-0.03,0.05,0.05,0.04,-0.09,0.11,0.16,0.05333333333333334
1964,-0.09,-0.1,-0.21,-0.32,-0.25,-0.04,-0.04,-0.22,-0.29,-0.31,-0.21,-0.29,-0.2,-0.18,-0.07,-0.26,-0.1,-0.27,-0.1975
1965,-0.08,-0.17,-0.13,-0.19,-0.12,-0.08,-0.13,-0.04,-0.15,-0.05,-0.06,-0.08,-0.11,-0.13,-0.18,-0.14,-0.09,-0.09,-0.10666666666666669
1966,-0.19,-0.04,0.04,-0.13,-0.12,0.01,0.08,-0.09,-0.03,-0.17,-0.01,-0.03,-0.06,-0.06,-0.1,-0.07,0.0,-0.07,-0.05666666666666667
1967,-0.08,-0.21,0.05,-0.05,0.12,-0.08,0.02,0.01,-0.06,0.09,-0.05,-0.05,-0.02,-0.02,-0.1,0.04,-0.01,-0.01,-0.024166666666666666
1968,-0.26,-0.14,0.2,-0.06,-0.14,-0.09,-0.13,-0.09,-0.19,0.09,-0.05,-0.15,-0.08,-0.08,-0.15,0.0,-0.1,-0.05,-0.08416666666666667
1969,-0.11,-0.18,0.0,0.17,0.18,0.03,-0.05,0.04,0.08,0.09,0.12,0.24,0.05,0.02,-0.14,0.12,0.01,0.1,0.050833333333333335
1970,0.08,0.22,0.06,0.05,-0.04,-0.03,0.02,-0.1,0.12,0.03,0.02,-0.12,0.03,0.06,0.18,0.02,-0.04,0.06,0.02583333333333333
